T,Solar,Wind,Price
647,0,1,61.1
648,0,1,60.84
649,0,1,60.63
650,0,1,60.32
651,0,1,60.32
652,0,0.999922753,60.32
653,0,0.989950641,56.4
654,0,0.970843466,56.4
655,0,0.489795978,41.19
656,0,0.547492926,59.2
657,0.2499,0.333054706,59.74
658,0.4155,0.018462413,59.74
659,0.5324,0,59.74
660,0.4953,0,63.61
661,0.5597,0,67.48
662,0.6671,0,66.9
663,0.6148,0.030116301,66.9
664,0.4365,0.297355088,66.9
665,0.195,0.65395447,66.9
666,0,0.777535914,71.75
667,0,0.899381199,202.22
668,0,0.847806067,67.48
669,0,0.859624384,66.32
670,0,0.957917007,61
671,0,0.993749641,45.06
672,0,0.983608501,44.59
673,0,0.988474156,44.28
674,0,0.969112194,44.28
675,0,0.993627718,44.28
676,0,0.993931232,44.28
677,0,0.985588874,44.28
678,0,0.984567802,44.28
679,0,0.943654598,38.21
680,0,0.777045517,53.11
681,0.2679,0.890186931,54.35
682,0.4889,0.68068999,53.11
683,0.6489,0.936870867,52.23
684,0.7238,0.987100035,51.27
685,0.7197,0.967741753,51.27
686,0.6822,0.899849186,51.27
687,0.5905,0.784582092,51.27
688,0.44,0.651619592,51.27
689,0.238,0.561908371,53.11
690,0,0.414882638,160.55
691,0,0.687287244,169.36
692,0,0.682974663,56.17
693,0,0.73747283,56.83
694,0,0.634241014,52.4
695,0,0.65153501,52.4
696,0,0.615369369,51.33
697,0,0.68236025,36.88
698,0,0.525762462,36
699,0,0.64446669,36
700,0,0.509338503,31.94
701,0,0.355740907,36
702,0,0.468346689,31.94
703,0,0.024016016,34.92
704,0,0.176356333,47.28
705,0.2215,0.621733865,47.71
706,0.448,0.743803456,47.71
707,0.6102,0.61795382,47.71
708,0.6827,0.965898197,49.85
709,0.6919,0.945244767,67.54
710,0.6824,0.965621839,67.54
711,0.6061,0.899902675,49.85
712,0.4429,0.743166781,67.54
713,0.2227,0.377837428,67.54
714,0,0.112902366,77.81
715,0,0,351.34
716,0,0,77.81
717,0,0.029965486,67.54
718,0,0.014040762,67.54
719,0,0.01527782,47.28
720,0,0.012803363,47.28
721,0,0.01138635,33.51
722,0,0,33.22
723,0,0,28.86
724,0,0.013413494,28.86
725,0,0,28.86
726,0,0.033610812,33.22
727,0,0.032481325,37.65
728,0,0.1417245,40.38
729,0.2201,0.028565709,52.88
730,0.4205,0.040031866,52.88
731,0.5658,0.019357139,52.88
732,0.6243,0,52.88
733,0.6336,0,52.88
734,0.6206,0,52.88
735,0.5519,0.020648329,52.88
736,0.4038,0.026141289,63.66
737,0.2062,0.036678155,66.47
738,0,0.113047774,117.12
739,0,0.149618291,141.55
740,0,0.301112415,117.12
741,0,0.08954229,82.78
742,0,0.084433673,77.13
743,0,0.073274364,64.66
744,0,0.056904201,63.36
745,0,0.089340823,50.7
746,0,0.206263503,51.16
747,0,0.264086452,51.31
748,0,0.237422234,51.48
749,0,0.165440224,50.4
750,0,0.162182537,52.7
751,0,0.295038348,40.12
752,0,0.202835055,53.4
753,0.0461,0.226257649,55.68
754,0.1938,0.370438387,56.39
755,0.3902,0,53.65
756,0.3957,0.489398602,53.65
757,0.4156,0.463884884,53.65
758,0.4371,0.547297832,53.4
759,0.5286,0.5841296,40.12
760,0.4206,0.93908919,40.12
761,0.2085,0.971803458,53.4
762,0,0.962042366,101.07
763,0,0.948561592,130.44
764,0,0.97624595,119.78
765,0,0.91318553,98.84
766,0,0.969681445,98.71
767,0,0.691284894,53.53
768,0,0.534732211,53.53
769,0,0.775744188,41.35
770,0,0.85897804,41.35
771,0,0.788457643,39.67
772,0,0.839111489,39.67
773,0,0.227526553,39.67
774,0,0.167990411,39.67
775,0,0.234189477,33.72
776,0,0.081298944,47.03
777,0.1455,0.035447793,47.03
778,0.2427,0.034973634,49.6
779,0.3104,0.106296679,59.16
780,0.3464,0.095373332,59.16
781,0.3283,0.083834115,59.16
782,0.2946,0.0936515,59.16
783,0.2536,0.075023513,59.16
784,0.175,0.034844267,54.34
785,0.034,0.050794964,103.86
786,0,0.119473584,152.22
787,0,0.196849023,156.4
788,0,0.14740428,152.55
789,0,0.319389024,54.34
790,0,0.47179176,47.15
791,0,0.663661128,46.99
792,0,0.724576523,46.99
793,0,0.792035788,33.72
794,0,0.858343867,32.58
795,0,0.677777357,32.58
796,0,0.506730405,32.28
797,0,0.53037892,32.28
798,0,0.535825038,32.28
799,0,0.323374558,32.61
800,0,0.419297905,32.61
801,0.2753,0.544037359,33.36
802,0.4988,0.438976968,33.36
803,0.6555,0.332860245,47.68
804,0.727,0.306645706,48
805,0.7355,0.538497072,86.06
806,0.7286,0.707353119,86.06
807,0.6589,0.799195279,85.74
808,0.4977,0.607947862,85.74
809,0.2796,0.532117632,71.66
810,0,0.255840281,85.74
811,0,0.438156172,141.42
812,0,0.501984789,86.06
813,0,0.282103842,48
814,0,0.333972053,47.69
815,0,0.415094435,32.91
816,0,0.341215156,32.91
817,0,0.356238933,32.61
818,0,0.197845307,32.61
819,0,0.149747244,28.36
820,0,0.304038023,28.36
821,0,0.47701774,28.36
822,0,0.56804494,28.36
823,0,0.544026895,28.57
824,0,0.338322499,47.31
825,0.2573,0.47102697,47.31
826,0.4428,0.188309556,47.31
827,0.5817,0.518598501,65.2
828,0.5987,0.662830186,65.2
829,0.6564,0.575324661,65.2
830,0.6124,0.489455063,65.2
831,0.5068,0.437200399,65.2
832,0.4084,0.439701378,65.2
833,0.2368,0.297427312,65.4
834,0,0.289717842,119.23
835,0,0.340511445,146.64
836,0,0.098208633,119.23
837,0,0.140847398,83.13
838,0,0.082887835,73
839,0,0.163046434,50.8
840,0,0.119935996,50.8
841,0,0.085516219,46.46
842,0,0.139110878,46.46
843,0,0.1517525,46.46
844,0,0.132777716,46.46
845,0,0.09822197,46.46
846,0,0.194924204,46.46
847,0,0.075681367,33.98
848,0,0.047140515,53.6
849,0.2891,0.011659902,53.6
850,0.5073,0,53.6
851,0.6627,0,53.6
852,0.7274,0,53.6
853,0.7364,0,53.6
854,0.7298,0,53.6
855,0.6666,0.016654695,53.6
856,0.508,0.037268226,53.6
857,0.2905,0.070002299,53.6
858,0,0.313025353,98.08
859,0,0.52799259,137.92
860,0,0.214610293,97.83
861,0,0.619380072,97.83
862,0,0.61790809,53.03
863,0,0.650214056,35.85
864,0,0.520717651,35.41
865,0,0.368172629,35.11
866,0,0.563604898,34.99
867,0,0.741534507,31.07
868,0,0.809762974,31.07
869,0,0.87240758,31.07
870,0,0.933201066,31.07
871,0,0.780363587,34.11
872,0.0007,0.688494659,48.73
873,0.2746,0.645850388,50.6
874,0.492,0.515149509,50.6
875,0.6453,0.737966349,58.38
876,0.7063,0.842772778,56.51
877,0.7157,0.848565363,56.51
878,0.7094,0.761191665,56.51
879,0.6458,0.934912997,56.51
880,0.4907,0.944572668,58.38
881,0.2821,0.89902376,58.38
882,0,0.958176158,67.65
883,0,0.977292514,291.35
884,0,0.781178984,142.77
885,0,0.853341672,67.78
886,0,0.587947118,67.79
887,0,0.793186348,58.71
888,0,0.323915067,58.71
889,0,0.540999849,56.45
890,0,0.735232579,48.27
891,0,0.7402604,44.85
892,0,0.770285361,44.85
893,0,0.818279529,40.14
894,0,0.692196952,44.85
895,0,0.667862317,51.38
896,0.0032,0.19623695,100.92
897,0.2384,0.317738024,108.11
898,0.4037,0.175475748,108.11
899,0.4987,0.197592278,119.98
900,0.5164,0.243823384,103.25
901,0.5155,0.21660466,55.85
902,0.5077,0.344401863,52.88
903,0.4962,0.41438814,52.19
904,0.3746,0.523257108,52.19
905,0.2158,0.612605485,55.14
906,0,0.759203544,57.69
907,0,0.704982953,62.3
908,0,0.340835545,62.32
909,0,0.382466893,57.51
910,0,0.715633533,55.96
911,0,0.536794774,51.48
912,0,0.073353783,36.27
913,0,0.084919318,36.27
914,0,0.047062582,31.77
915,0,0.066953671,31.77
916,0,0.158672418,31.77
917,0,0.138336849,23.23
918,0,0.07401715,32.33
919,0,0.04522844,41.49
920,0,0,48.46
921,0.2567,0,74.79
922,0.4516,0,74.93
923,0.5729,0.00E+00,75.43
924,0.5979,0,79.69
925,0.6425,0,79.66
926,0.6437,0,75.43
927,0.5573,0,75.29
928,0.3212,0.02453908,75.29
929,0.1424,0.069469732,75.29
930,0,0.229612252,75.49
931,0,0.31893632,154.66
932,0,0.219684767,84.45
933,0,0.123240385,80.2
934,0,0.064440495,75.3
935,0,0.066361987,50.87
936,0,0.016953037,50.87
937,0,0.039989487,48
938,0,0.185027101,38
939,0,0.226595928,34.15
940,0,0.301325704,33.08
941,0,0.481833921,33.08
942,0,0.464627198,32.78
943,0,0.147071892,33.08
944,0.0009,0.461978663,38.79
945,0.291,0.373694093,48.11
946,0.5064,0.158029121,49.45
